City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Kuryk,KZ,84.49,scattered clouds,43.2,51.65,Gostinitsa Kuryk - Otel' Dlya Vsekh Kategoriy Kliyentov .
4,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,Castro,BR,82.33,clear sky,-24.79,-50.01,CHACARA BAILLY
6,Laredo,US,75.2,few clouds,27.51,-99.51,La Quinta Inn by Wyndham Laredo I-35
13,Kuching,MY,75.2,scattered clouds,1.55,110.33,Hilton Kuching
14,Guerrero Negro,MX,87.17,clear sky,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
17,Saint George,US,82.99,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
27,Lorengau,PG,81.75,light rain,-2.02,147.27,Lorengau Harbourside Hotel
29,Hambantota,LK,75.2,overcast clouds,6.12,81.12,Bungalow 63
33,Le Vauclin,MQ,89.6,few clouds,14.55,-60.84,Hôtel Cap Macabou
36,Muroto,JP,84.16,moderate rain,33.28,134.15,Oota Ryokan
37,Robertsport,LR,78.1,overcast clouds,6.75,-11.37,Kwepunha Retreat
39,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.08,Scoop Guest House
40,Bhatkal,IN,79.84,broken clouds,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
45,Tura,IN,75.13,moderate rain,25.52,90.22,Hotel RIKMAN Continental
47,Laguna,US,80.6,haze,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
49,Bathsheba,BB,87.8,scattered clouds,13.22,-59.52,Atlantis Hotel
57,Georgetown,MY,82.4,heavy intensity rain,5.41,100.34,Cititel Penang
58,Praia,CV,82.4,broken clouds,14.92,-23.51,LT Aparthotel
59,Salalah,OM,80.6,scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
61,Namatanai,PG,79.52,overcast clouds,-3.67,152.43,Namatanai Hotel
64,Malakal,SS,75.76,light rain,9.53,31.66,Nile Palace Hotel
70,Tingo Maria,PE,75.2,haze,-9.29,-76.01,Hospedaje Paraíso
73,Kavieng,PG,82.83,clear sky,-2.57,150.8,Nusa Island Retreat
76,Bengkulu,ID,77.07,light rain,-3.8,102.27,Grage Hotel Bengkulu
77,Sur,OM,84.49,clear sky,22.57,59.53,Sur Plaza Hotel
86,Kieta,PG,79.11,clear sky,-6.22,155.63,
96,Asopos,GR,80.6,clear sky,36.73,22.87,Rachi Boza
99,Vanimo,PG,78.26,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
100,Faanui,PF,77.56,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
102,Santo Antonio Da Platina,BR,88.86,clear sky,-23.3,-50.08,Hotel Kanôa Tropical
107,Biak,ID,76.78,light rain,-0.91,122.88,Kost Ariz
110,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
112,Amahai,ID,77.54,light rain,-3.33,128.92,Peternakan Ayam Bangkok Manisso
116,Atuona,PF,78.49,light rain,-9.8,-139.03,Villa Enata
121,Yagoua,CM,76.03,overcast clouds,10.34,15.23,HÔTEL LE PROGRÈS
123,Dingle,PH,78.04,overcast clouds,11.0,122.67,Camp Pasica
126,Kahului,US,75.2,few clouds,20.89,-156.47,Maui Seaside Hotel
127,Butaritari,KI,83.03,overcast clouds,3.07,172.79,Isles Sunset Lodge
128,Victoria,HK,84.0,overcast clouds,22.29,114.16,Mini Hotel Central
129,Touros,BR,86.0,broken clouds,-5.2,-35.46,INN NEW HORIZON
130,San Patricio,MX,86.0,scattered clouds,19.22,-104.7,Hotel Cabo Blanco
131,Sola,VU,79.34,light rain,-13.88,167.55,Leumerus Bungalows
137,Tukrah,LY,79.56,clear sky,32.53,20.58,استراحة لاقروتا
139,Xuddur,SO,79.3,overcast clouds,4.12,43.89,Banjanay Hotel
140,Oron,NG,77.94,light rain,4.83,8.23,Aqua Belloni Lodge
141,Laje,BR,85.82,clear sky,-10.18,-40.97,Pousada Centro
142,Naze,JP,80.6,broken clouds,28.37,129.48,奄美ポートタワーホテル
144,Faya,SA,82.4,few clouds,18.39,42.45,مقبرة ال مجمل
148,Niimi,JP,79.0,moderate rain,34.98,133.47,備中路
154,Madingou,CG,81.01,overcast clouds,-4.15,13.55,HOTEL KIM ELISA
158,Worland,US,78.01,haze,44.02,-107.96,Town House Motor Inn
159,La Libertad,EC,75.2,scattered clouds,-2.23,-80.9,Playa Canela Hotel Boutique
163,Buala,SB,80.19,light rain,-8.14,159.59,Maringe Lagoon Lodge
165,Arkadelphia,US,80.01,clear sky,34.12,-93.05,COLLEGE INN MOTEL
166,Hasaki,JP,75.2,broken clouds,35.73,140.83,Inubosaki Kanko Hotel
167,Izumo,JP,84.2,broken clouds,35.37,132.77,Toyoko-Inn Izumoshi ekimae
170,Ordu,TR,77.0,few clouds,40.91,37.68,Orencik Koyu Muhtarligi
172,Pombas,CV,87.8,scattered clouds,17.15,-25.02,POUSADA O RECANTO
174,Sao Filipe,CV,78.39,broken clouds,14.9,-24.5,Tortuga B&B
176,Nouadhibou,MR,89.6,light rain,20.93,-17.03,El Medina
178,Bodden Town,KY,87.8,scattered clouds,19.28,-81.25,Will T Place
179,Keningau,MY,77.0,few clouds,5.34,116.16,Sabindo Hotel
180,Ponta Do Sol,PT,77.0,few clouds,32.67,-17.1,Hotel do Campo
191,Bac Lieu,VN,81.48,overcast clouds,9.29,105.72,Khách sạn Sài Gòn Bạc Liêu
195,Sinnamary,GF,84.2,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
196,Flagstaff,US,78.8,clear sky,35.2,-111.65,Drury Inn & Suites Flagstaff
