,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Komsomolskiy,UZ,40.43,71.72,71.6,28,74,4.7,broken clouds
1,Kuryk,KZ,43.2,51.65,84.49,17,26,15.12,scattered clouds
2,Rikitea,PF,-23.12,-134.97,72.77,82,4,15.97,clear sky
3,Ushuaia,AR,-54.8,-68.3,42.8,75,40,19.46,scattered clouds
4,Kapaa,US,22.08,-159.32,78.8,74,75,13.87,broken clouds
5,Castro,BR,-24.79,-50.01,82.33,32,1,10.51,clear sky
6,Laredo,US,27.51,-99.51,75.2,94,20,4.7,few clouds
7,Gladstone,AU,-23.85,151.25,66.2,82,40,5.82,scattered clouds
8,Hochstadt,DE,49.25,8.21,69.01,39,100,5.53,overcast clouds
9,Honningsvag,NO,70.98,25.97,51.8,81,75,21.92,light rain
10,Rivadavia,AR,-33.19,-68.46,55.4,47,20,8.05,few clouds
11,Maltahohe,NA,-24.83,16.98,83.84,14,0,15.21,clear sky
12,Mataura,NZ,-46.19,168.86,45.0,72,87,11.01,overcast clouds
13,Kuching,MY,1.55,110.33,75.2,100,40,2.57,scattered clouds
14,Guerrero Negro,MX,27.98,-114.06,87.17,46,0,5.12,clear sky
15,Kondinskoye,RU,59.65,67.41,48.67,69,100,10.09,overcast clouds
16,Saint-Philippe,RE,-21.36,55.77,69.8,83,22,4.7,few clouds
17,Saint George,US,37.1,-113.58,82.99,14,1,3.36,clear sky
18,Yellowknife,CA,62.46,-114.35,43.0,75,75,6.93,broken clouds
19,Slavutych,UA,51.52,30.73,68.92,58,100,4.03,overcast clouds
20,Hobart,AU,-42.88,147.33,50.0,81,100,6.93,overcast clouds
21,Fenoarivo Atsinanana,MG,-17.37,49.42,68.7,79,28,10.89,scattered clouds
22,Vaini,TO,-21.2,-175.2,69.8,73,75,10.29,broken clouds
23,Lagoa,PT,39.05,-27.98,68.16,76,81,22.55,broken clouds
24,Thompson,CA,55.74,-97.86,41.0,93,90,12.75,light rain
25,Rio Grande,BR,-32.03,-52.1,60.01,85,100,4.0,light rain
26,Aklavik,CA,68.22,-135.01,39.2,80,75,4.7,broken clouds
27,Lorengau,PG,-2.02,147.27,81.75,81,8,10.74,light rain
28,Eregli,TR,37.51,34.05,74.46,31,0,6.13,clear sky
29,Hambantota,LK,6.12,81.12,75.2,100,90,4.7,overcast clouds
30,Pizhanka,RU,57.46,48.54,56.79,77,0,7.67,clear sky
31,Hilo,US,19.73,-155.09,73.4,73,90,2.08,overcast clouds
32,Narsaq,GL,60.92,-46.05,46.4,87,75,4.7,light rain
33,Le Vauclin,MQ,14.55,-60.84,89.6,66,20,13.87,few clouds
34,Emerald,AU,-23.53,148.17,66.2,77,7,8.05,clear sky
35,Qaqortoq,GL,60.72,-46.03,46.4,87,75,4.7,light rain
36,Muroto,JP,33.28,134.15,84.16,79,99,37.92,moderate rain
37,Robertsport,LR,6.75,-11.37,78.1,84,91,14.32,overcast clouds
38,Vardo,NO,70.37,31.11,55.4,76,48,11.41,scattered clouds
39,Hithadhoo,MV,-0.6,73.08,82.18,76,92,10.47,overcast clouds
40,Bhatkal,IN,13.97,74.57,79.84,85,76,7.61,broken clouds
41,Constitucion,CL,-35.33,-72.42,59.18,54,0,7.7,clear sky
42,Saskylakh,RU,71.92,114.08,40.86,88,55,6.98,broken clouds
43,Rio Cuarto,AR,-33.13,-64.35,50.0,81,90,9.17,overcast clouds
44,Cap Malheureux,MU,-19.98,57.61,73.0,72,37,5.01,scattered clouds
45,Tura,IN,25.52,90.22,75.13,96,100,4.68,moderate rain
46,Chokurdakh,RU,70.63,147.92,38.17,77,22,6.42,few clouds
47,Laguna,US,38.42,-121.42,80.6,51,1,8.05,haze
48,Flinders,AU,-34.58,150.86,59.0,82,8,1.01,clear sky
49,Bathsheba,BB,13.22,-59.52,87.8,66,40,13.87,scattered clouds
50,Kuusamo,FI,65.97,29.18,57.2,67,68,12.75,broken clouds
51,Oudtshoorn,ZA,-33.59,22.2,59.0,93,75,5.82,broken clouds
52,Bredasdorp,ZA,-34.53,20.04,60.8,63,36,10.29,scattered clouds
53,Torbay,CA,47.67,-52.73,71.01,37,40,6.93,scattered clouds
54,Turka,UA,49.15,23.03,68.0,79,69,4.59,broken clouds
55,Jamestown,US,42.1,-79.24,66.99,77,1,5.82,clear sky
56,Buraydah,SA,26.33,43.98,104.0,15,0,10.29,clear sky
57,Georgetown,MY,5.41,100.34,82.4,83,40,2.24,heavy intensity rain
