City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sambava,MG,2020-09-03 17:50:28,-14.27,50.17,70.95,78,4,16.35
1,Arraial Do Cabo,BR,2020-09-03 17:50:28,-22.97,-42.03,82.4,65,0,24.16
2,Santa Vitoria,BR,2020-09-03 17:50:28,-18.84,-50.12,93.56,20,19,2.44
3,Padang,ID,2020-09-03 17:50:29,-0.95,100.35,77.07,82,100,1.72
4,Husavik,IS,2020-09-03 17:50:29,66.04,-17.34,42.8,87,90,40.26
5,East London,ZA,2020-09-03 17:50:29,-33.02,27.91,59.0,82,0,2.24
6,Clyde River,CA,2020-09-03 17:50:29,70.47,-68.59,42.8,81,75,8.05
7,Hilo,US,2020-09-03 17:46:48,19.73,-155.09,73.4,73,75,3.51
8,Labrea,BR,2020-09-03 17:50:30,-7.26,-64.8,100.04,30,60,1.07
9,Punta Arenas,CL,2020-09-03 17:50:30,-53.15,-70.92,46.4,65,40,6.93
10,Anadyr,RU,2020-09-03 17:50:30,64.75,177.48,41.0,93,20,13.42
11,Busselton,AU,2020-09-03 17:50:30,-33.65,115.33,59.0,67,99,13.4
12,Katsuura,JP,2020-09-03 17:50:31,35.13,140.3,82.0,89,94,5.99
13,Chuy,UY,2020-09-03 17:50:31,-33.7,-53.46,54.61,77,80,9.62
14,Torbay,CA,2020-09-03 17:45:42,47.67,-52.73,68.0,63,75,17.22
15,Mataura,NZ,2020-09-03 17:50:31,-46.19,168.86,45.0,72,100,11.01
16,New Norfolk,AU,2020-09-03 17:50:31,-42.78,147.06,46.0,74,54,4.0
17,Thompson,CA,2020-09-03 17:50:32,55.74,-97.86,50.0,81,90,16.11
18,Pringsewu,ID,2020-09-03 17:50:32,-5.36,104.97,73.45,92,65,1.1
19,Tabou,CI,2020-09-03 17:50:32,4.42,-7.35,76.15,88,96,10.78
20,Kapaa,US,2020-09-03 17:50:32,22.08,-159.32,80.6,69,40,11.41
21,Vaini,TO,2020-09-03 17:50:33,-21.2,-175.2,68.0,72,20,14.99
22,Mangan,IN,2020-09-03 17:50:33,27.52,88.53,76.03,59,91,0.94
23,Zyryanskoye,RU,2020-09-03 17:50:33,56.83,86.63,56.07,94,92,7.81
24,Barrow,US,2020-09-03 17:50:02,71.29,-156.79,37.4,86,90,16.11
